,mean,max,25%,50%,75%,95%,std
1278C1010,275.55231735159816,592.9999999999997,200.67500000000004,249.90000000000003,344.0999999999999,459.90999999999974,96.60867282686344
1278C1030,435.60345890410946,1020.0999999999996,320.775,409.69999999999993,537.5999999999998,688.9999999999995,140.38435265958736
1278A0020,320.65787671232874,829.6999999999996,234.10000000000002,296.05,399.325,515.6099999999997,107.17680445735215
1278B2020,132.51351598173514,346.0,94.10000000000002,123.5,165.12500000000003,225.80000000000004,50.29338600948995
1278B2010,184.06422374429226,492.8,130.8,170.40000000000003,229.72500000000005,308.1,66.93887344881067
1278B2030,161.35654109589044,492.6999999999997,115.2,150.7,202.6,272.1,60.75690577168256
1278A0010,286.8856621004566,658.1999999999997,209.50000000000003,266.5,355.9999999999999,464.40499999999986,96.79617868330493
1278C1020,271.1447945205479,724.1999999999997,196.47500000000008,250.25000000000006,337.4,444.8049999999998,93.3102823569915
1278B3010,200.6230593607306,642.0,137.60000000000002,188.45000000000005,251.2,345.0,79.66466296404668
1281C1230,154.91977168949774,483.4,105.7,144.5,196.10000000000005,266.30499999999995,62.10664091653029
1281C1270,103.025,353.40000000000003,69.19999999999999,94.7,130.10000000000002,185.50499999999997,44.05451270439954
1281C1250,92.11623287671232,375.5,58.7,83.6,116.4,175.00000000000003,43.973223115273825
1281C1040,86.65252283105022,532.2,46.8,72.2,110.3,199.00499999999997,57.48494405132752
