,Unnamed: 0,Kommun,Kommunnamn,Antal Bilar,Kommungrupp 2023,Travel (km),Travel +-,Boende totalt Antal,E,N,geom_Length,geom_Area,mean,max,25%,50%,75%,95%,std
1283C1500,113,1283,Helsingborg,627,Större stad,21,2,1993,357269,6213746,3571.033762,351962.4892,147.01101598173517,531.0,94.2,135.00000000000003,188.2,272.20000000000005,67.90209237223928
1283C1490,114,1283,Helsingborg,693,Större stad,21,2,2231,357269,6213746,5660.00675,1244108.988,159.3563470319635,522.6,104.8,148.4,204.12500000000003,288.205,70.53993752844758
1283C1610,115,1283,Helsingborg,1062,Större stad,21,2,2616,357269,6213746,7656.244949,2927831.395,230.8705593607306,648.6999999999998,160.00000000000003,219.20000000000002,290.90000000000003,382.60499999999996,87.13566181222328
1283B2010,116,1283,Helsingborg,905,Större stad,21,2,1927,358942,6209795,5939.762108,1752059.361,199.50268264840182,634.8,134.10000000000002,187.8,253.90000000000003,341.1,80.88606594885766
1283C1310,117,1283,Helsingborg,522,Större stad,21,2,1720,357269,6213746,1613.295159,119885.0588,126.5975114155251,482.7000000000001,79.19999999999999,113.45000000000002,162.70000000000002,248.20499999999998,64.2145853027695
1283C1300,118,1283,Helsingborg,837,Större stad,21,2,1901,357269,6213746,3606.470215,589716.3964,185.97694063926943,608.7,125.9,174.3,235.42500000000004,323.69999999999993,76.7479193455666
1283C1640,119,1283,Helsingborg,776,Större stad,21,2,1955,357269,6213746,6453.416774,2100336.946,176.59044520547945,732.7,118.5,165.9,224.02500000000003,312.20000000000005,74.49299081056043
1283C1420,120,1283,Helsingborg,566,Större stad,21,2,1412,357269,6213746,1985.325946,136998.763,128.5925114155251,480.3,82.8,116.60000000000002,163.40000000000003,241.3,61.090379526461994
1283C1430,121,1283,Helsingborg,737,Större stad,21,2,1820,357269,6213746,1487.201874,112167.7208,183.16592465753428,597.6,119.0,171.05,233.50000000000003,336.30999999999995,83.06437333431994
1283B5010,122,1283,Helsingborg,567,Större stad,21,2,941,358942,6209795,12460.30799,7918477.194,137.9794292237443,655.7,86.19999999999999,126.4,175.425,267.5,69.03274753420166
1283B2020,123,1283,Helsingborg,1259,Större stad,21,2,2885,358942,6209795,8893.297403,2629499.131,268.4200799086758,750.0,187.9,251.90000000000003,338.125,446.0,99.45146315736243
1283B2030,124,1283,Helsingborg,834,Större stad,21,2,1759,358942,6209795,8758.001239,3608118.631,165.78327625570782,451.1,115.6,154.95000000000002,209.6,283.90000000000003,64.56131215936996
1283C1170,125,1283,Helsingborg,769,Större stad,21,2,1639,358942,6209795,4417.878651,798165.2171,175.29391552511416,556.1999999999999,115.5,163.3,223.6,311.705,75.77262146653726
